art;pr
53403.1000186;1144238
53403.1000186-10;1124352
53403.1000186-20;1136308
53403.1000186-А40;983808
53406.1000186-А11;1018578
53406.1000186-А13;995398
5341.1000186-10;886208
53411.1000186-10;893528
53416.1000186;874740
53416.1000186-А01;1010160
53419.1000186-А11;986858
5342.1000186;876082
53421.1000186;879132
53422.1000146-20;905118
53422.1000147-20;918660
53422.1000146-21;914024
53422.1000186;834602
53422.1000186-20;886818
53422.1000186-70;835944
53422.1000186-71;990884
53423.1000146-50;967460
53423.1000146-53;1018334
53423.1000146-54;1112030
53423.1000146-А93;981124
53423.1000186-02;889380
53423.1000186-А03;954406
53423.1000186-10;889990
53423.1000186-А41;970632
53423.1000186-50;949892
53423.1000186-55;958310
53423.1000186-А65;963800
53423.1000186-А67;959774
53423.1000186-А68;1059570
53425.1000186;895236
53425.1000186-01;866322
53442.1000186-01;854488
53443.1000146-10;957700
53443.1000146-11;955992
53443.1000146-20;949892
53443.1000146-30;951234
53443.1000146-41;951112
53443.1000146-А42;952942
53443.1000146-50;946842
53443.1000146-51;958920
53443.1000146-А54;958920
53445.1000146-20;948428
53445.1000146-22;948916
53445.1000146-27;950624
53445.1000146-А32;940376
53445.1000146-А37;941474
53445.1000146-А40;961482
53445.1000186-А60;1089582
53445.1000186-А61;1106784
53445.1000186-99;925248
5346.1000186;893528
5348.1000186-121;1013454
5348.1000186-123;1013454
536.1000186;1265140
53601.1000186;1273314
53602.1000146-15;1425936
53602.1000186;1375550
53602.1000186-10;1382138
53602.1000186-11;1380430
53602.1000186-А51;1368352
53603.1000186;1189012
53603.1000186-01;1214388
53611.1000186;1272460
536111.1000186-40;1248304
53613.1000186-10;1229882
53613.1000186-11;1229882
53613.1000186-40;1244278
53613.1000186-43;1241106
53621.1000186;1245132
53622.1000186;1205970
53622.1000186-10;1382138
53622.1000186-11;1382138
53622.1000186-15;1387018
53623.1000016-А02;1409100
53623.1000186;1189012
53623.1000186-01;1211216
53623.1000186-10;1372866
53623.1000186-11;1191940
53623.1000186-А25;1388360
53623.1000186-А50;1386042
53625.1000186;1235860
5363.1000186;1265140
53631.1000186;1272460
53633.1000186;1197064
53633.1000186-03;1216584
53642.1000016-140;1559038
53642.1000146-15;1477908
53642.1000146-16;1506822
53642.1000186;1248304
53642.1000186-10;1434598
53642.1000186-11;1434842
53642.1000186-14;1436306
53645.1000186-А12;1408612
53646.1000186;1334192
53646.1000186-А01;1498038
53653.1000186;1184010
53653.1000186-01;1205970
53653.1000186-10;1181082
53653.1000186-А20;1387628
53675.1000186-А;1417640
53675.1000186-А01;1424960
5368.1000186-121;1391532
5368.1000186-123;1391532
650.1000186;3036824
650.1000186-01;2998028
