art;pr
236М2-3906100;11426.52
236А-3906100;15069.44
236Д-3906100;11494.84
236НЕ-3906100;13801.86
236НЕ2-3906100;12607.48
236БЕ2-3906100;13646.92
236ДК-3906100;28635.84
238М2-3906100;11890.119999999999
238АМ2-3906100;12691.66
238Б-3906100;16705.46
238Д-3906100;12534.279999999999
238ВМ-3906100;19182.06
238АК-3906100;26604.54
238БК-3906100;12781.94
236М2-3906101;17550.92
236А-3906101;14600.96
236НЕ-3906101;8061.76
236ДК-3906101;35615.46
238М2-3906101;12952.74
238АМ2-3906101;16418.76
238Б-3906101;16495.62
238Д-3906101;9577
236М2-3906102;8044.679999999999
236А-3906102;15958.82
236БЕ2-3906102;10230.92
236ДК-3906102;12259.779999999999
238М2-3906102;8500.96
238Б-3906102;13316.3
236НЕ2-3906103;9257.36
238Д-3906103;9390.34
238НД4-3900001;5803.54
236-3906010-Д;17093.42
236-3906010-52;14954.76
238-3906010-Е;20486.239999999998
238-3906010-48;18916.1
238Б-3906010;16776.22
238Б-3906010-Б;23722.899999999998
238Б-3906010-31;18791.66
236БЕ2-3906010;41821.6
236НЕ2-3906010-20;42301.06
7601.3906010-20;16740.84
236НБ-3906012-02;6999.139999999999
236НЕ2-3906012-33;13834.8
238ДЕ2-3906012-19;13036.92
238НД4-3906012;18015.739999999998
238Д-3906012-31;7438.34
6585.3906012;9204.9
236-3901010-Г;8882.82
240Д-3901010;5970.68
840.3901010;14303.279999999999
840.3901011-10;8518.039999999999
240-3901035;1305.3999999999999
236-3901210-А2;2446.1
840.3901484;1018.6999999999999
236-3901490;958.92
840.3901490;514.84
236-3901496;90.28
200-3901502-А2;684.42
200-3901503-А2;40.26
204А-3901506-Б;732
236-3901508;845.46
236-3901510;600.24
200-3901578-Б2;929.64
236-3901588;40.26
236-3918010-Б;9378.14
236-3918028;9440.36
236-3918054;8408.24
240-3918116;1988.6
236-3918222;5694.96
236-3918250-А;3246.42
238НБ-3918340;2568.1
