Номенклатура;Остатки
1102.3741-02 Клапан электромагнитный, 24V (ЭФУ);
118-124-38-2-2 Кольцо уплотнительное;2
13.3839 Датчик засоренности воздушного фильтра;2
135.1111282 Клапан перепускной (6007.1111282-01);8
135.1111282-30 Клапан перепускной;2
15.1601102 Пружина (ТМЗ);8
15.1601302 Шток;22
15.1601308 Планка;12
15.1601312 Пластина;36
15.1601344 Втулка (ТМЗ);26
15.1601347 Пластина;12
151.1600010-10 Установка сцепления;1
16.1111005 ТНВД;1
181.1112010-11 Форсунка (ЯЗДА);3
181.1112110-02 Распылитель (ЯЗДА);4
182.1112010-10 Форсунка (ЯЗДА);
182.1112110-11 Распылитель (ЯЗДА);3
200-1000001 Комплект уплотнительных изделий (медь);2
200461-П29 Болт ТНВД М10х1,25х80;
201-1009042-Б Шайба медная 31,1х24,1х2 (312768-П);5
201-1015624 Шайба 16х22х2;19
201-1114060-А Крышка маслоналивного патрубка в сб.;2
201454-П29 Болт М8-6gх16 (ГБЦ);24
201458-П29 Болт М8-6g-25;
201464-П29 Болт М8х40;
201466-П29 Болт М8х1,25х45;
201469-П29 Болт М8х1,25х55;
201674-П29 Болт М10×1,25-6g×20;9
201676-П29 Болт М10Х1,25-6GХ25;1
201678-П29 Болт М10×1,25-6g×30;4
201680-П29 Болт М10Х1,25-6GХ35;6
201684-П29 Болт М10х1.25х45 (креп. выхл., ТКР);20
204А-1011310-В Сетка заборника;2
204А-1011318-Б Крючок;
216527-П29 Шпилька (ГБЦ);6
216563-П29 Шпилька М10 L=70 Р1=26х1,25/20х1,5;
236-1002283-А Прокладка с сеткой в сборе;5
236-1003001-02 Р/к головки блока ЯМЗ-236 н/о;2
236-1005128-А Пластина замковая;28
236-1005160 Манжета коленвала задняя BAUM7X7 140х170 (840.1005160);4
236-1005160-А6 Манжета коленвала задняя 140х170 (840.1005160);4
236-1005160-А7 Манжета коленвала задняя 140х170 (МКВ) (840.1005160);4
236-1011014-В3 Насос масляный (ТМЗ);3
236-1011048-Б Клапан редукционный (ТМЗ);3
236-1011202-А Шестерня;12
236-1011296 Прокладка;2
236-1011363-Б2 Клапан;2
236-1029300-Б Муфта привода;1
236-1110479 Кольцо уплотнительное аналог 33.1106379 (016-020-25-2-2) 25.3111.3064;20
236-1307010-А3 Насос водяной (ТМЗ);4
236-1307081 Кольцо стопорное Б62;6
