art;pr
310016;212.28
310017;197.64
310022;48.8
310031;436.76
310065;858.88
310076;21.96
310079;416.02
310080;93.94
310088;43.92
310092;140.29999999999998
310104;136.64
310135;258.64
310148;80.52
310200-П;1045.54
310407;230.57999999999998
310409;108.58
310416;226.92
310440;220.82
310454;64.66
310459;108.58
311421;61
311422;48.8
311425;61
311427;40.26
311430;201.29999999999998
311431;64.66
311434;25.62
311437;119.56
311442;295.24
311443;62.22
312302;50.019999999999996
312303;48.8
312308;14.64
312320;15.86
312329-П29;26.84
312337;9.76
312366-П29;226.92
312376;17.08
312380;40.26
312381;13.42
312384;61
312388;172.02
312391;143.96
312391-П2;143.96
313888;270.84
314009;219.6
314605;431.88
314606;363.56
310201-П2;806.42
310211-П2;178.12
312766-П;75.64
650.1001017;8775.46
650.1001017-20;8775.46
650.1001019;8775.46
650.1001019-20;8775.46
650.1001125-10;2801.12
650.1001126-10;3297.66
650.1001202;7040.62
650.1001204;6796.62
650.1002011;361172.46
650.1002016;28211.28
650.1002021;4761.66
650.1002023;279.38
650.1002031;158.6
650.1002136;203.74
650.1002138;196.42
650.1002260;37699.22
650.1002312;45903.72
650.1002602;48.8
650.1002700;30001.02
650.1003012;332586.64
650.1003016;1339.56
650.1003017;474.58
650.1003210;17372.8
650.1003256;15947.84
650.1003272;224.48
650.1003540;196.42
650.1004022;64.66
650.1004030;2133.7799999999997
650.1004032;481.9
650.1004034;514.84
650.1004045;17142.22
650.1004058;976
650.1004059;722.24
650.1004118;740.54
650.1004121;26.84
650.1005033;1068.72
650.1005040;1869.04
650.1005041;90.28
650.1005050;8450.94
650.1005010-01;235521
650.1005051-01;26258.059999999998
650.1005062;588.04
650.1005070;22336.98
650.1005106;140.29999999999998
650.1005118;41817.94
650.1005122;89.06
650.1005124;965.02
650.1005124-01;575.84
650.1005127;337.94
650.1005157;1056.52
650.1005157-11;405.03999999999996
650.1005161;2074
650.1005170;700.28
650.1005171;653.92
650.1005193;741.76
650.1005194;692.96
650.1005230-10;79436.64
650.1006015;48684.1
650.1006037;896.6999999999999
650.1006214;8320.4
650.1006236;346.48
650.1007008;2587.62
650.1007012;2687.66
650.1007020;303.78
650.1007024;245.22
650.1007028;35.38
650.1007088;73805.12
650.1007095;132.98
650.1007108;650.26
650.1007176;724.68
650.1007180;3275.7
650.1007205;474.58
650.1007210;2832.84
650.1007211;527.04
650.1007262;196.42
650.1008022;10217.5
650.1008024;29966.86
650.1008026;8030.04
650.1008027;558.76
650.1008232-10;3764.92
650.1009010;42420.62
650.1009015-01;43241.68
650.1009040;2687.66
650.1009047;4406.64
650.1009076;309.88
650.1009077;191.54
650.1009408;50.019999999999996
650.1011350;3689.2799999999997
650.1011398;2414.38
650.1011560;68.32
650.1013600;71936.08
650.1013638;75.64
650.1013642;63.44
650.1014600;2348.5
650.1014602-01;525.8199999999999
650.1014606;143.96
650.1014608;163.48
650.1028010;16638.36
650.1028101;158.6
650.1028180;3154.92
650.1029077;204.96
650.1029115;12703.86
650.1029117;10783.58
650.1029128;3163.46
650.1029128-01;2942.64
650.1029129-01;2917.02
650.1104283-01;1290.76
650.1104608;2635.2
650.1105510;25956.72
650.1105510-01;27909.94
650.1105510-041;10317.539999999999
650.1105510-051;12215.86
650.1105510-074;10879.96
650.1105510-164;10317.539999999999
650.1111005-20;83400.42
650.1111047;129.32
650.1111548;1072.3799999999999
650.1111656;9297.619999999999
650.1111662;821.06
650.1111673-10;5540.0199999999995
650.1112154;2942.64
650.1112163;1041.8799999999999
650.1112230;294.02
650.1112433-10;9098.76
650.1112463-10;7804.34
650.1112552-01;22230.84
650.1115021;31006.3
650.1115026;189.1
650.1115027;189.1
650.1115128;18859.98
650.1115132;303.78
650.1115158;10354.14
650.1115280;8320.4
650.1115436;175.68
650.1117010;28820.059999999998
650.1105075-11;3330.6
650.1105075-13;3853.98
650.1105075-14;1415.2
650.1118011;54664.54
650.1118158;535.58
650.1118208;11469.22
650.1118220;7340.74
650.1118322;74.42
650.1118434;47.58
650.1130538;4832.42
650.1130540-01;4238.28
650.1130540-02;4019.9
650.1130544-01;1393.24
650.1130552-01;8453.38
650.1130556-01;429.44
650.1203020;294.02
650.1203142;6520.9
650.1203165;264.74
650.1303018;106.14
650.1303060;2398.52
650.1303150;4610.38
650.1303168;1389.58
650.1303178;5175.24
650.1303186;164.7
650.1303248;120.78
650.1303314;97.6
650.1307048;294.02
650.1308020;2623
650.1308025;9250.039999999999
650.1308043;641.72
650.1308044;780.8
650.1308063;8314.3
650.1308081;1290.76
650.1308110-02;8988.96
650.1308111;7016.22
650.1308127;640.5
650.1308129;129.32
650.1308139;2571.7599999999998
650.1308924;143.96
650.1309012;12425.699999999999
650.1309064;2775.5
650.1309072;567.3
650.1309074;586.8199999999999
650.3407150-03;15021.859999999999
650.3407152-03;15497.66
650.3407153-01;19288.2
650.3407153-03;16684.72
650.3407154;5707.16
650.3407155-01;21053.54
650.3407155-03;13944.6
650.3407156-03;15176.8
650.3509009;58875.979999999996
650.3509075;148.84
650.3509130;4115.0599999999995
650.3509228;2192.34
650.3509260;1239.52
650.3509280;3464.7999999999997
650.3570010;43029.4
650.3570012;4986.14
650.3570163;383.08
650.3570182;252.54
650.3570184;366
650.3701010-10;30062.02
650.3701032;918.66
650.3701715-01;5529.04
650.3701774;7019.88
650.3708010-02;22400.42
650.3724010;18069.42
650.3724010-01;13665.22
650.3724010-10;11657.1
650.3724012-01;12423.26
650.3724012-10;17597.28
650.3724014-01;19040.54
650.3724017;37926.14
650.3724017-01;27003.48
653.3724017-10;29067.72
650.3724017-20;29339.78
650.3724164;235.46
650.3740008;414.8
650.3740050;601.46
650.3740062;3335.48
650.3740070;564.86
650.3740080;592.92
650.3763106;3251.2999999999997
650.3901010;10221.16
650.8114110-01;6348.88
650.8114112;19485.84
650.8114120;164.7
651.1004013;27561.02
651.1004020;2181.36
651.1004030;1313.94
651.1008025;10693.3
651.1008026;11180.08
651.1008560;2613.24
651.1011014;25803
651.1104205;1647
651.1104282;428.21999999999997
651.1104282-10;394.06
651.1104346;734.4399999999999
651.1104390;2052.04
651.1104390-10;2554.68
651.1104416;1163.8799999999999
651.1104426;1171.2
651.1104525;2871.88
651.1104525-10;4168.74
651.1111032;755.18
651.1111032-20;346.48
651.1111036-10;1921.5
651.1112010-10;21581.8
651.1112154-10;1977.62
651.1115048;884.5
651.1115128;8052
651.1115128-10;7875.099999999999
651.1115280;20184.899999999998
651.1118010-02;43392.96
651.1130548-01;2333.86
651.1130564-01;1731.18
651.1201010-05;124564.44
651.1201010-15;124564.44
651.1201010-25;124564.44
651.1213010-01;86921.34
651.1213012;8113
651.1213014;38073.76
651.1213015;76777.04
651.1213016;6400.12
651.1213018;82.96
651.1213029;2183.7999999999997
651.1213030;886.9399999999999
651.1213040;2271.64
651.1213045;3905.22
651.1213068;137.85999999999999
651.1213068-10;309.88
651.1213075-01;2104.5
651.1213078;1937.36
651.1213080;4435.92
651.1213090;1342
651.1213092;124.44
651.1213094;189.1
651.1213100;1504.26
651.1303150;5620.54
651.1303430;2653.5
651.1307010-02;33143.74
651.1308010-01;74505.4
651.1309010;3129.2999999999997
651.1309012;1642.12
651.1309064;452.62
651.1309066;525.8199999999999
651.1309072;579.5
651.1309074;714.92
651.3570010-01;18586.7
651.3724012;19516.34
651.3724012-01;15357.359999999999
651.3724014;27917.26
651.3724014-01;24099.88
65101.3724014-01;21781.88
65101.1130142;236.68
650.3906007;84422.78
650.3906007-20;129810.44
652.3906010;22816.44
652.3770015;9831.98
8.8399;75.64
8.8915;33770.82
8.9215;31.72
8.9509;28.06
8.9939;3989.4
650.1014266;531.92
653.1303150;3304.98
