art;pr
8424.1000140-03;2113618.28
8431.1000026;2268986.5
8435.1000175;2056715.04
8435.1000175-001;2056715.04
8435.1000175-15;2049998.94
8437.1000175;2384726.68
84352.1000010;2279620.02
8481.1000186;2051243.3399999999
8481.1000186-001;2066178.5799999998
8481.1000186-02;2051243.3399999999
8481.1000186-04;2051243.3399999999
8481.1000187;2155487.46
8481.1000187-02;2155487.46
8481.1000187-04;2155487.46
8481.1000175-05;2058082.66
8481.1000175-051;2076121.5799999998
8481.1000175-055;2105300.32
8481.1000175-07;2398638.34
8481.1000175-08;2648035.62
8486.1000175-02;2996550.58
8486.1000175-03;3032900.48
8486.1000175-031;3032900.48
8486.1000175-04;1998960.24
8486.1000175-051;2006786.54
8486.1000175-071;2011333.48
85226.1000175;2288972.54
85227.1000175;2207758.36
8525.1000020;2735607.2199999997
8525.1000175;2274186.14
8525.1000175-10;2333762.4
8525.1000175-11;2328722.58
