Номенклатура.Артикул;Остаток
238НД5-1000186;1
8435.1000175-15;1
181-1601115;3
201-1005034-Б6;9
236-1002261-Г2;7
236-1002315;9
236-1003016-Б;1
236-1005061-Б;7
236-1005160-А6;15
236-1007026-Б;32
236-1007176-А2;112
236-1007242;266
236-1007244-А;82
236-1028010-А;79
236-1029264-Г;2
236-1029268-Г;15
236-1106288-В;50
236-1111620;40
236-1306084;60
236-1308104-В;30
236-1601180-Б2;180
236-1701040-А2;11
238-1601093;3
238П-1111614;4
312471-П;4
658-1012010;85
7511-1006214-10;12
1509.1701053;1
1509.1701127;1
1509.1701132;2
1509.1702035;12
181.160113;3
182.160109;4
182.1601090-05;4
182.160112;1
182.1601125;2
182.1601130-10;7
182.1601187;52
182.1601193-02;7
182.1601199-01;6
182.1601273;7
182.1601275;1
183.160109;4
183.1601090-05;9
183.1601180-01;2
183.1601195;30
183.1601197;5
183.1601203;3
1830.1601203-01;3
184.1601015;1
184.160109;1
184.1601115;1
184.1601130-10;18
184.1601135;8
184.1601203;9
184.1601216;5
184.1601273-71;5
184.4200004;3
184.4200011;1
1846.160118;2
187.160109;9
187.160113;5
187.4200002;1
187.4200095;1
187.420013;4
200-1701060;2
200271-П29;161
200274-П29;471
200276-П29;581
200315-П29;100
200320-П29;46
200325-П29;82
200326-П29;44
200333-П29;48
200377-П29;20
200404-П29;50
200461-П29;2
200463-П29;14
200853-П29;25
201-1007194;3
201-1012083;157
201-1015624;34
201-1105516;8
201-1114060-А;17
201-1117120;3
201-1306075-А;72
201.1701035;3
201420-П29;108
201454-П29;882
201456-П29;805
201456-П29ГМ;1348
201458-П29;1348
201464-П29;869
201466-П29;851
201495-П29;2
201499-П29;1385
201501-П29;86
204-1011370-Б;5
204А-1011310-В;2
204А-1011318-Б;3
204А-1105510-Б;2
204А-1117029;4
216233-П29;34
216235-П29;292
216259-П29;36
216262-П29;23
216533-П29;1
216626-П29;5
236-1000102-Б2;9
236-1000102-Б2-Р1;1
236-1000102-Б2-Р2;15
236-1000102-Б2-Р3;4
236-1000102-Б2-Р6;1
236-1000104-В2;12
236-1000104-В2-Р2;1
236-1001020-А4;3
236-1002023;49
236-1002024-А;79
236-1002261-В2;3
236-1002261-Г2;4
236-1002272;5
236-1002282-Б;24
236-1002283;1
236-1002315;4
236-1002318;25
236-1002333;3
236-1002404;146
236-1003009;6
236-1003013-Ж4;2
236-1003016-Б;54
236-1003108-Б;82
236-1003110-В4;40
236-1003112-В;26
236-1003112-Г;4
236-1003113;16
236-1003114-В;1
236-1003114-В2;7
236-1003114-Г;2
236-1003210-В7;1
236-1003244-А;3
236-1003256-Б2;9
236-1003270;4
236-1003272;6
236-1003290-В;1
236-1003290-Д;3
236-1003291-В;4
236-1004002-А4;65
236-1004005;55
236-1004005-Б2;41
236-1004020-01;270
236-1004022-Б;229
236-1004045-Б3;55
236-1004052-Б2;242
236-1005009-Ж;1
236-1005042;7
236-1005055;2
236-1005056-А;9
236-1005061-Б;2
236-1005061-В;4
236-1005115-Л;1
236-1005115-Н;2
236-1005115-Н4;2
236-1005125-В2;4
236-1005128-А;102
236-1005129-Б;22
236-1005160-А6;3
236-1005169;10
236-1005180-А1;27
236-1005181;35
236-1006015-Г3;3
236-1006026-А;21
236-1006037-А;51
236-1006236-Б;5
236-1007010-В2;247
236-1007015-В6;238
236-1007024-В;73
236-1007026-Б;98
236-1007028-А;416
236-1007091-Б2;18
236-1007103-А;27
236-1007118-В;55
236-1007144-В2;126
236-1007148-Б;578
236-1007176-А2;67
236-1007186;75
236-1007239;2
236-1007242;7
236-1007244-А;6
236-1007247-Б;4
236-1007262;398
236-1008022-В;1
236-1008050;5
236-1009010-А;4
236-1009010-Г2;3
236-1011014-Г;1
236-1011056-А;1
236-1011098-В;2
236-1011296;6
236-1011320;10
236-1011322;12
236-1011352-В;22
236-1011352-Г;2
236-1011358-А;3
236-1011380;32
236-1011398-В2;2
236-1011398-Г;2
236-1011398-Д;2
236-1011420-В;3
236-1011420-Г;2
236-1012027-А2;1
236-1014104;1
236-1022815;1
236-1028031-А2;1
236-1028162;71
236-1028180;3
236-1028250-Б;11
236-1029122-А;2
236-1029123;2
236-1029154-В;8
236-1029260-Г;1
236-1029264-Г;1
236-1029274;35
236-1029286-Б2;4
236-1029300-А;9
236-1029300-Б;3
236-1104334;42
236-1104334-40;4
236-1104346-В;2
236-1104346-В2;1
236-1104346-Д;2
236-1104370-Б;28
236-1104370-В;9
236-1104384;23
236-1104384-Б;1
236-1104384-Ж;23
236-1104422-В;4
236-1104422-Г;1
236-1104422-Е;7
236-1104426;11
236-1104426-В;14
236-1104426-Г;3
236-1104426-Е;1
236-1104426-Ж;4
236-1104429;3
236-1104430;7
236-1104440;3
236-1104441;42
236-1104630;4
236-1109080-А;6
236-1111614;6
236-1111620;6
236-1112163-Б2;52
236-1115024;1
236-1115026;21
236-1115030-В;2
236-1115032-В;5
236-1115034-Б;3
236-1115040;20
236-1306053-А;15
236-1306080-А2;18
236-1306080-Б;1
236-1306084;2
236-1306084-А;13
236-1307010-Б3;6
236-1308104-Б2;1
236-1308104-В;4
236-1308107-А;10
236-1308108-Б;8
236-131Т;13
236-1601030-А2;30
236-1601110-В;1
236-1601120;1
236-1601216-Б2;11
236-1601230-А;1
236-1701009-Б;1
236-1701020;1
236-1701040-А2;3
236-1701043-Б;1
236-1701048-Б;11
236-1701050;1
236-1701051;2
236-1701057;2
236-1701063;1
236-1701067-А;4
236-1701087;1
236-1701092;4
236-1701105-Б;3
236-1701112-Б;3
236-1701113-Б2;1
236-1701122-А;2
236-1701127;2
236-1701131;1
236-1701135;4
236-1701138;14
236-1701144-Г;1
236-1701145-А;3
236-1701150-Б2;7
236-1701151-А;2
236-1701230;4
236-1701240-10;3
236-1701240-Б2;3
236-1701243;2
236-1701476-Б;1
236-1702010-Б;1
236-1702027;2
236-1702033;2
236-1702074;4
236-1704010-А;1
236-3701774;3
236-3708702-Б;3
236-3708702-В;3
236-3708704-Б;13
236-3708720;2
236-3906004-10;1
236-4200090;3
2361.1701200-10;1
236БЕ-1008042;3
236БЕ-1008042-В;1
236БЕ-1008088;2
236БЕ-1008358-А;3
236БЕ-1008482-Г;1
236БЕ-1008524-В;1
236БЕ-1111430-А;3
236БЕ-1111558;3
236БЕ-1111558-Б;1
236БЕ-1111620;2
236БЕ-1115014;1
236БЕ-1115020;3
236БЕ-1115020-Б;2
236БЕ-1115021;1
236БЕ-1115021-Б;3
236БЕ-1115030;2
236БЕ-1118220-Г;1
236БЕ-1118340-Б;1
236БЕ2-1308010;2
236БК-1308010;2
236БК-1308011-Б2;1
236Д-1003013-А;4
236Д-1003210;10
236Д-1003212;20
236Д-1005009-Б;1
236Д-1005121;1
236Д-1005127;86
236Д-1008482;1
236Д-3701790;2
236ДК-1009010;1
236Н-1008022;3
236Н-1008482;2
236Н-1011425;1
236Н-1013630;11
236Н-1111558;1
236Н-1115012;1
236Н-1118340;4
236Н-1701027-Б;1
236Н-1701056-А;2
236Н-1702114;5
236НД-1009010;2
236НД-1308011-Б;1
236НЕ-1005061-Б;1
236НЕ-1104308-А;2
236НЕ-1104310-А;2
236НЕ-1104312-А;2
236НЕ-1104314-А;2
236НЕ-1104316-А;2
236НЕ-1104318-А;2
236НЕ-1104320-А;2
236НЕ-1115012;1
236НЕ-1115059-10;1
236НЕ-1115128;2
236НЕ-1308011-Ж;1
236НЕ-1308011-И;3
236НЕ-1308050-Г;1
236НЕ-1308754-А;4
236НЕ-1309065;2
236НЕ2-1022826-40;2
236НЕ2-1104384-40;1
236НЕ2-1104422-40;1
236НЕ2-1104426;9
236НЕ2-1104426-40;1
236У-1701053;4
236У-1701129;4
236У-1702121-Б;1
238-1000102-Б2;10
238-1000102-Б2-Р2;1
238-1000102-Б2-Р3;2
238-1000102-Б2-Р5;4
238-1000102-Б2-Р6;5
238-1000104-В2;7
238-1000104-В2-Р1;3
238-1000104-В2-Р3;1
238-1000104-В2-Р6;3
238-1002318;17
238-1003009;8
238-1003013-Ж3;4
238-1003210-В9;4
238-1003244-А;20
238-1003246;1
238-1003256-Б3;11
238-1003256-В3;12
238-1003290-В;5
238-1003290-Д;6
238-1003291-В;14
238-1005009-Г3;8
238-1005115-Л;3
238-1005115-Н;3
238-1006010-Б6;1
238-1008022-Г;3
238-1008023;2
238-1009010-А;6
238-1011398-В2;3
238-1014266;5
238-1022840;3
238-1104308;5
238-1104346-В;15
238-1104346-Г;5
238-1104346-Д;1
238-1104370-Б;66
238-1104370-В;10
238-1104422-В;29
238-1111620;14
238-1111620-В;10
238-1115021;2
238-1308011-В2;1
238-1308011-Г2;1
238-1601090-Г3;10
238-1601094-Г;2
238-1701283;1
238-3701774-Б;1
238-3701790;30
238-3906004-10;1
238-4200005;1
238-4200095;1
238-4200150;49
238.420009;2
2381.1701029;12
2381.170103;5
238А-1701051;1
238А-1701053;3
238А-1701129;7
238АК-1002265;28
238АК-1002266;28
238АК-1002270;8
238АК-1005512;29
238АК-1104436;2
238АК-1308011;4
238АК-1308012;7
238АК-1308110;6
238АК-3408010-Б;2
238АК-3701774;7
238АК-3701790;5
238Б-1004005;48
238Б-1004005-Б;44
238Б-1011048;4
238Б-1011065;3
238Б-1011350-Б;2
238Б-1012076-Б2;1
238Б-1012078-Б2;9
238Б-1111558-В;6
238Б-1115020-Б;1
238Б-1118340;14
238Б-1702114;10
238Б-1721240;7
238БЕ-1308012-А;3
238БК-1008042;2
238БК-1115048;1
238БК-1115280-Б;1
238БК-1115284-Б;1
238БК-1118220;1
238БК-1118221;1
238БК-1118224;1
238БК-1118225;2
238БК-1118340;1
238БК-1308011-Д;3
238БМ-1104426;20
238БМ-1111558;5
238В-1011398-Б4;1
238В-1115124;1
238Д-1003212;30
238ДК-1005009-30;4
238ДК-4200130;1
238Н-1002084;10
238Н-1002402;1
238Н-1009010-А2;2
238Н-1011425-В;2
238Н-1011427-В;1
238Н-1011447;8
238Н-1011520-Б;1
238Н-1017140;1
238Н-1017153;65
238Н-1022838;3
238Н-1308012;8
238Н-1601040;26
238Н-1601090-Б2;3
238НБ-1001010;4
238НБ-1001020-Б3;6
238НБ-1004005-А4;47
238НБ-1005061;2
238НБ-1005115-Д;9
238НБ-1009010-Б2;2
238НБ-1308011-Д;5
238НБ-1308012-Б2;9
238НБ-1308025;1
238НБ-3701774;2
238НД-1011014-Б;2
238НД-1308011-В2;1
238НД5-1001010;1
238НП-1308011-В;2
238НП-1308025;1
238П-1005061;2
238П-1005061-Б;3
238П-1005061-Б2;2
238П-1111558;16
238П-1721240;5
238Ф-1008022;2
238Ф-1008027;3
238Ф-1008482;12
238Ф-1009010-В;1
238Ф-1011300-А;1
238Ф-1011398-А3;3
238Ф-1011400-В2;1
238Ф-1022815;4
238Ф-1115032;5
238Ф-1115128-Б;3
238Ф-1115132;30
238Ф-1118220;28
238Ф-1118224;1
238Ф-1118322;4
239-1701478;5
239.1701009;1
239.1701027-10;1
239.1701048-10;2
239.1701056;1
239.1701082-10;2
239.1701092;1
239.1701105;1
239.1701112-10;4
239.1701127-10;1
239.1701131-10;2
239.1701132-10;2
239.1701135;1
239.1701136-03;2
239.1701137;1
239.1701140-10;2
239.1701143;3
239.1701279;5
239.1701428-01;7
239.1701428-03;7
239.1701462;22
239.1701476;2
239.1702027;2
239.1702033;1
239.1702221;2
239.170823;1
239.172138;1
2391.1701132;1
240-1000104-Б2;2
240-1000104-Б2-Р6;1
240-1002244;3
240-1002250;1
240-1002264-Г;1
240-1002265-А2;1
240-1002271-А;6
240-1002314;4
240-1002317;93
240-1002318;10
240-1002402;37
240-1002503-Б2;3
240-1003017-В;42
240-1003019;10
240-1003031;2
240-1003213;16
240-1003213-А1;20
240-1003217;169
240-1003218;200
240-1003264-Б2;5
240-1003270;4
240-1003270-Б;6
240-1003330;13
240-1003336-В2;128
240-1003470-Б;117
240-1003473-Б;71
240-1003474;4
240-1003475;12
240-1003476;81
240-1004005-А;42
240-1004006-А;102
240-1005030-Б2;1
240-1005070-Б1;2
240-1005078;61
240-1005086-Б2;73
240-1005089-А;80
240-1005115-Б;1
240-1005373-А;24
240-1005532;4
240-1005536;5
240-1005537;8
240-1005576;33
240-1005582-Б;41
240-1005583-Б;1
240-1005584-В;2
240-1005589-Б;10
240-1005596-Б;9
240-1005600;5
240-1005657;5
240-1005661;8
240-1005663;2
240-1005674;7
240-1005676;4
240-1006015;1
240-1006200;3
240-1006214;2
240-1006236;5
240-1007090-В2;5
240-1007102-Б;45
240-1007106-В;16
240-1007176-А;50
240-1007236;3
240-1007242;3
240-1007244-А;24
240-1008022;3
240-1008024;3
240-1008027;19
240-1009010-А;3
240-1009040-А2;1
240-1009050-Б;5
240-1009059;9
240-1009062;4
240-1011351;1
240-1011380;28
240-1011406-Б;1
240-1014094;10
240-1014128;1
240-1014138;26
240-1014147;33
240-1014148;6
240-1014149-Б;13
240-1014275;5
240-1017076-А;7
240-1017100;1
240-1017292;23
240-1017293-Б2;1
240-1028094;2
240-1028102;2
240-1028108-А;8
240-1029074-А;2
240-1029104-А;1
240-1029116;1
240-1029120;4
240-1029220-Б;3
240-1029221;3
240-1029228-А;2
240-1029284-В;36
240-1029300-А2;15
240-1104300-Б;7
240-1104306;1
240-1104310-В;8
240-1104312-В;8
240-1104314-В;8
240-1104316-В;8
240-1104318-В;8
240-1104320-В;8
240-1104322-В;11
240-1104324-В;8
240-1104326-В;8
240-1104328-В;8
240-1104330-В;8
240-1104332-В;6
240-1104343;2
240-1104344-А;180
240-1104345-Б;17
240-1104346-А;35
240-1104346-Б2;10
240-1104350;1
