art;pr
133.1111005-20;143507.38
133.1111005-30;143507.38
133.1111005-40;143507.38
133.1111005-60;143507.38
133.1111005-70;143507.38
133.1111005-80;143507.38
135.1111005-10;143507.38
136.1111005;148982.74
136.1111005-10;148982.74
136.1111005-20;148982.74
16.1111005;152452.41999999998
17.1111005;148011.62
17.1111005-10;148011.62
17.1111005-20;148011.62
17.1111005-30;148011.62
17.1111005-40;148011.62
171.1111005;150918.88
171.1111005-10;150918.88
171.1111005-20;150918.88
171.1111005-30;150918.88
171.1111005-40;150918.88
171.1111005-50;150918.88
171.1111005-60;150918.88
171.1111005-70;150918.88
173.1111005-30;155060.78
173.1111006-20;155060.78
175.1111005-40;155060.78
175.1111005-50;155060.78
175.1111005-60;155060.78
175.1111005-70;155060.78
Э175.1111005-70;163175
179.1111005;158441.4
179.1111005-10;158441.4
179.1111005-20;158441.4
185.1111005;190132.12
185.1111005-10;190132.12
185.1111005-20;190132.12
185.1111005-30;190132.12
185.1111005-40;190132.12
185.1111005-50;190132.12
185.1111005-60;190132.12
185.1111005-80;190132.12
185.1111005-90;190132.12
185.1111006-80;190132.12
187.1111005;190132.12
187.1111005-01;190132.12
187.1111005-10;298399.8
187.1111005-11;298399.8
187.1111005-20;298399.8
187.1111005-21;298399.8
187.1111005-30;298399.8
187.1111005-31;298399.8
187.1111005-40;298399.8
187.1111005-41;298399.8
323.1111005-11;111045.62
324.1111005-10;136818.12
324.1111005-10.01;136818.12
33.1111007-02;88005.92
33.1111007-10;88005.92
332.1111005-30;99145.73999999999
334.1111005;92903
336.1111005-20;164552.38
336.1111005-21;164552.38
336.1111005-23;164552.38
336.1111005-24;164552.38
337.1111005-20;151710.66
337.1111005-20.03;151710.66
337.1111005-20.04;151710.66
337.1111005-20.05;151710.66
337.1111005-20.06;151710.66
337.1111005-20.07;151710.66
337.1111005-20ЭМ;161053.41999999998
337.1111005-22;161053.41999999998
337.1111005-23;161053.41999999998
337.1111005-40;126966.62
337.1111005-40.01;126966.62
337.1111005-40.02;126966.62
337.1111005-40.03;126966.62
337.1111005-42;126966.62
337.1111005-42.01;126966.62
337.1111005-42.03;126966.62
337.1111005-42.08;126966.62
337.1111005-50.01;125026.81999999999
337.1111005-50.02;125026.81999999999
337.1111005-50.03;125026.81999999999
337.1111005-50.05;125026.81999999999
337.1111005-70;129966.59999999999
337.1111005-70.01;129966.59999999999
337.1111005-71.01;141631.02
337.1111005-80.01;130995.06
363.1111005-40.01;92879.81999999999
363.1111005-40.01Т;92879.81999999999
363.1111005-40.02;92879.81999999999
363.1111005-40.02Т;92879.81999999999
363.1111005-40.04;92879.81999999999
363.1111005-40.04Т;92879.81999999999
363.1111005-40.05;92879.81999999999
363.1111005-40.09;92879.81999999999
363.1111005-40.11;92879.81999999999
363.1111005-40.14;92879.81999999999
363.1111005-41.04;93777.73999999999
363.1111005-41.05;93777.73999999999
363.1111005-41.06;93777.73999999999
363.1111005-41.07;93777.73999999999
366.1111005-Э2;94447.52
366.1111005-01Э2;94447.52
47.1111005;144039.3
47.1111005-10;144039.3
60.1111005-30;68737.24
60.1111005-40;68737.24
601.1111005;71495.66
604.1111005;78987.68
604.1111005-10;78987.68
605.1111005-10;78987.68
605.1111005-20;78987.68
605.1111005-30;78987.68
607.1111005;78987.68
607.1111005-10;78987.68
607.1111005-20;78987.68
608.1111005;71495.66
772.1100015-05;71648.16
772.1111005;79934.4
773.1111005-01;89316.2
773.1111005-01Т;89316.2
773.1111005-02;89316.2
773.1111005-04;89316.2
773.1111005-04Э;92131.95999999999
773.1111005-04Э2;92131.95999999999
773.1111005-05;89316.2
773.1111005-05Э;92131.95999999999
773.1111005-05Э2;95502.81999999999
773.1111005-07Т;89316.2
773.1111005-08;89316.2
773.1111005-10.01Э2;93678.92
773.1111005-20.05П;87822.92
773.1111005-20.05Э;93678.92
773.1111005-20.05Э2;93678.92
773.1111005-20.06;87822.92
773.1111005-20.06П;87822.92
773.1111005-20.06Э;93678.92
773.1111005-20.06Э2;93678.92
773.1111005-20.07;87822.92
773.1111005-20.07Э;93678.92
773.1111005-20.07Э2;93678.92
773.1111005-40.02;87822.92
773.1111005-40.09;87822.92
773.1111005ЭМ;124709.62
774.1111005;91563.44
774.1111005-01;91563.44
774.1111005-02;91563.44
774.1111005-04;91563.44
774.1111005-05;91563.44
774.1111005-08;91563.44
774.1111005-09;91563.44
7741.1111005;91563.44
776.1111005-01Э2;93678.92
776.1111005-01.4Э2;93678.92
776.1111005.1НЭ2;93678.92
776.1111005-01.4НЭ2;93678.92
776.1111005-11Э2;93678.92
776.1111005Э2;93678.92
776.1111005-05Э2;93678.92
776.1111005-10Э2;93678.92
80.1111005-30;75295.95999999999
801.1111005-50;75295.95999999999
802.1111005-20;75295.95999999999
803.1111005-20;75295.95999999999
803.1111005-30;75295.95999999999
803.1111005-40;75295.95999999999
804.1111007-21;75295.95999999999
805.1111005-40;80933.58
805.1111007-30;75295.95999999999
805.1111007-40;75295.95999999999
805.1111007-50;78909.59999999999
805.1111007-70;78909.59999999999
806.1111005-40;93181.16
806.1111005-50;94608.56
807.1111005-40;93181.16
807.1111005-50;93610.59999999999
808.1111005;73996.66
809.1111005-20;75295.95999999999
90.1111008-20;105334.8
901.1111008-20;119944.3
902.1111008-20;119063.45999999999
903.1111008-10;119944.3
905.1111008;108256.7
181.1112010-11;4453
182.1112010;4453
182.1112010-10;4453
182.1112010-50;4453
26.1112010-04;1882.46
26.1112010-03C;1882.46
26.1112010-12;1973.96
26.1112010-13;1973.96
261.1112010-04;1973.96
261.1112010-13;1973.96
262.1112010-04;1973.96
263.1112010-04;1973.96
267.1112010-01;3718.56
267.1112010-11;3718.56
267.1112010-20;3718.56
271.1112010-02;1592.1
272.1112010-02;1592.1
273.1112010-20;2843.82
273.1112010-31;1912.96
274.1112010-22;3442.84
33.1112010-03;1657.98
455.1112010-50;3391.6
51.1112010-02;3799.08
51.1112010-20;3799.08
51.1112010-21;3799.08
181.1112010-11C;5980.44
182.1112010-10C;5980.44
26.1112010-30С;4546.94
261.1112010-30C;4546.94
СК271.1112010;4546.94
СК272.1112010;4546.94
СК273.1112010;4546.94
СК273М.1112010;4546.94
СК273М1.1112010;4546.94
СК274.1112010;5980.44
СК274.1112010-10;5980.44
СК33.1112010;4546.94
136.3763001-10;36525.58
136.3763001-20;36525.58
136.3763001-30;36525.58
179.3763001-10;36525.58
179.3763001-20;36525.58
179.3763001-30;36525.58
179.3763001-40;36525.58
ДК-5;49170.88
36.3855-20;3464.7999999999997
36.3855-22;3464.7999999999997
403.3847;1342
СД110;119244.02
406.3847060-01;1082.1399999999999
424.3828;512.4
424.3828-10;512.4
ЭМ 19-02;10293.14
ЭМ 19-03;10293.14
ЭМП 01-30;37516.22
181.1112110-02;649.04
182.1112110-03;819.84
182.1112110-11;819.84
271.1112110-01;391.62
272.1112110;372.09999999999997
273.1112110-20;705.16
273.1112110-30;430.65999999999997
33.1112110-12;383.08
33.1112110-220;383.08
33.1112110-230;383.08
33.1112110-240;383.08
33.1112110-250;383.08
33.1112110-260;383.08
33.1112110-270;383.08
33.1112110-280;383.08
33.1112110-300;383.08
33.1112110-40;383.08
33.1112110-80;383.08
335.1112110-120;1222.44
335.1112110-121;1222.44
335.1112110-31;1222.44
335.1112110-50;1222.44
335.1112110-58;1222.44
335.1112110-60;1222.44
335.1112110-70;1222.44
335.1112110-140;1222.44
904.1112110-Д;1022.36
905.1112110-Д;1022.36
906.1112110-Д;1022.36
236-1106210-А2;5067.88
236-1106288-В;2291.16
236М-1106210;7629.88
240-1106210;4731.16
323.1106010;4714.08
323.1106010-10;4714.08
332.1106010;4421.28
337.1106010-10;5455.84
37.1106010-10;5907.24
37.1106010-20;6283
37.1141010;5946.28
37.1141010-01;5946.28
44.1106010-01;8288.68
53.1106010-50;30698.86
53.1106010-60;30698.86
531.1106010-52;23924.2
861.1106010;8937.72
136.1111150;1916.62
17.1111150;1706.78
17.1111150-01;1706.78
175.1111150-11;1531.1
324.1111150-01;1701.8999999999999
324.1111150-10;1701.8999999999999
33.1111074-01;808.86
33.1111074-01.01;808.86
332.1111150;1138.26
337.1111150-11;1392.02
337.1111150-21;1392.02
337.1111150-31;1392.02
53.1111150-52;7872.66
60.1111073-01;871.0799999999999
60.1111073-11;871.0799999999999
60.1111074-31;871.0799999999999
771.1111150;996.74
771.1111150-10;1239.52
8061.1111074-01;986.98
Н05.1111074;863.76
33.1121010-01;6680.72
