art;pr
ЧР-9798-01;47577.56
ЧР-9798-12;1505.48
ЧР-10442-250;24861.16
ЧР-10442-258;4104.08
ЧР-10732-005;2746.22
200270-П29;63.44
200315-П29;45.14
200399-П29;103.7
200404-П29;145.18
200412-П29;150.06
200458-П29;114.67999999999999
200461-П29;169.57999999999998
200463-П29;131.76
200466-П29;117.12
200468-П29;111.02
200470-П29;87.84
200471-П29;132.98
200820-П29;145.18
200822-П29;148.84
200853-П29;285.48
201462-П29;71.98
201499-П29;58.56
201544-П2;89.06
201676-П29;62.22
201682-П29;102.48
201684-П29;96.38
201688-П29;97.6
202119-П29;159.82
206464-П29;23.18
216233-П29;31.72
216235-П29;34.16
216257-П29;62.22
216258-П29;81.74
216262-П29;62.22
216502-П29;62.22
216523-П29;69.53999999999999
216526-П29;108.58
216527-П29;114.67999999999999
216564-П29;73.2
216626-П29;102.48
250512-П5;50.019999999999996
250512-П29;61
250635-П29;79.3
250659-П29;189.1
250661-П2;291.58
252004-П29;8.54
252038-П2;92.72
252038-П29;17.08
257257-П2;20.74
258040-П29;9.76
258072-П29;23.18
258250-П29С;119.56
258252-П29С;23.18
258253-П29С;18.3
258254-П29С;84.17999999999999
258256-П29С;40.26
258666-П29;35.38
260310-П29;29.28
260315-П;42.699999999999996
260316-П2;70.76
262520-П29;251.32
288010-П29;18.3
288010-П29С;17.08
310034-П29;50.019999999999996
310040-П29;630.74
310043-П29;36.6
310044-П29;168.35999999999999
310046-П29;170.79999999999998
310086-П29;154.94
310095-П29;215.94
310096-П29;220.82
310098-П29;159.82
310103-П29;178.12
310110-П2;137.85999999999999
310111-П29;111.02
310118-П29;120.78
310119-П2;222.04
310122-П29;150.06
310153-П29;145.18
310156-П2;145.18
310213-П29;134.2
310214-П29;134.2
310219-П29;92.72
310222-П2;142.74
310224-П29;20.74
310225-П29;280.59999999999997
310228-П;93.94
310234-П29;168.35999999999999
310236-П29;273.28
310248-П2;71.98
310254-П2;186.66
310264-П29;376.98
310265-П2;259.86
310404-П29;103.7
310414-П29;84.17999999999999
310417-П;117.12
310423-П29;102.48
310437-П;119.56
310438-П2;137.85999999999999
310443-П;143.96
310460-П29;108.58
310462-П;212.28
310488-П29;181.78
311401-П29;342.82
311403-П;1474.98
311412-П29;262.3
311423-П5;251.32
311445-П5;164.7
311446-П5;50.019999999999996
311516-П;178.12
311516-П2;165.92
311710-П29;369.65999999999997
311808-П2;125.66
311810-П2;605.12
311901-П2;70.76
311909-П;101.25999999999999
312101-П29;566.08
312300-П2;52.46
312304-П;84.17999999999999
312306-П29;2.44
312307-П29;7.32
312310-П34;40.26
312313-П2;50.019999999999996
312315-П2;64.66
312316-П29;24.4
312326-П;92.72
