name;price
Балка 8486.1001020-11;68067.45999999999
Бачок охладителя 8423.1170294-30;5969.46
Блок цилиндров 842.1002012-20;401728.92
Блок цилиндров 852.1002010;509552.51999999996
Болт 239-1722142-02;1342
Болт 239-1721244-02;1138.26
Болт 310096-П29;257.42
Болт 840.1003016-01;764.9399999999999
Болт 840.1008504;411.14
Болт 8423.1008504;400.15999999999997
Болт 840.1117122;335.5
Болт 8424.3708800-10;484.34
Болт М10х1,25-6Дх140 200471-П29;80.52
Болт М10х1х22 310122-П29;164.7
Болт М10х1х40 310239-П29;275.71999999999997
Болт М12-6Дх30 310054-П29;263.52
Болт М12х1,25-6Дх30 310067-П2;491.65999999999997
Болт М12Х1,25-6ДХ95 310035-П29;472.14
Болт М14х48,5 310236-П29;312.32
Болт М16 847.1104433;463.59999999999997
Болт М8х1,25-6GX40 201464-П29;41.48
Болт противовеса 840.1005023;1274.8999999999999
Болт шатуна 840.1004062;890.6
Болт шкива 840.1005062-01;719.8
Вал 238М-1721312-50;39357.2
Вал 8481.1108045;6623.38
Вал вторичный 238М-1701105;17637.54
Вал выходной 202-1721300-42;95360.08
Вал коленчатый 8421.1005007;280263.27999999997
Вал коленчатый 8423.1005010;280077.83999999997
Вал коленчатый 849.1005010-01;293705.24
Вал привода 240-1029308-А;5114.24
Вал привода 240-1029330-Б;4024.7799999999997
Вал промежуточный 238М-1701047;63527.84
Вал промежуточный 238М-1701048;17460.64
Вал промежуточный 238Н-1701048;16240.64
Вал распределительный 842.1006010-10;80617.59999999999
Вал распределительный 846.1006015;70828.31999999999
Валик 240.1307023-Д;4349.3
Валик 8486.1605075-10;1769
Валик соединительный 240-1029336;2124.02
Ввертыш 316603-П29;235.46
Ввертыш 316611-П29;206.18
Ввертыш 316612-П29;114.67999999999999
Ввертыш 316613-П29;159.82
Ввертыш 316622-П29;251.32
Ввертыш 316623-П29;185.44
Ввертыш 316628-П29;134.2
Ввертыш 316632-П29;237.9
Вентилятор 8423.1308012-01;13579.82
Вентилятор 8423.1308012-11;13579.82
Винт с чашкой 840.1007147;300.12
Вилка 201-1722049-42;10883.619999999999
Вилка 201-1722050-41;6619.72
Втулка 202.1721340-40;379.42
Втулка 2381.1701026;1337.12
Втулка 238-1701121-10;2166.72
Втулка 238М-1701282;8349.68
Втулка 840.1003037-01;507.52
Втулка 840.1013630;835.6999999999999
Втулка 8423.1309075;156.16
Втулка маховика 840.1005121-01;2070.34
Втулка маховика 842.1005121;4240.72
Гайка 311416-П2;1888.56
Гайка 250959-П29;281.82
Гайка 311901-П2;108.58
Гайка 311905-П2;172.02
Гайка М10Х1,25-6Н 250517-П29;48.8
Гайка М48х1,5 311815-П29;624.64
Гайка шатуна 840.1004064;272.06
Гильза цилиндра 840.1002021-11;7761.639999999999
Гнездо 238М-1701078;5482.68
Головка цилиндра 240-1003014-Е2;26467.899999999998
Головка цилиндра 840.1003010-25;59013.84
Демультипликатор 239.1721005;164918.38
Демультипликатор 239В.1721005;155454.84
Демультипликатор 239В.1721005-01;155454.84
Демультипликатор 239В.1721005-03;162403.96
Диск ведомый 15.1601129;29758.239999999998
Диск ведомый 161.1601130;29758.239999999998
Диск ведомый 238.1601130-40;5574.18
Диск ведомый 238.1601131-40;5574.18
Диск ведомый 238-1601130-Б;10207.74
Диск ведомый 238-1601131;10207.74
Диск нажимной 151.1601090-10;88348.74
Диск средний 15.1601092;19197.92
Диск сцепления 2381.1601130;18286.579999999998
Заглушка 240-1029316-Б;82.96
Заглушка люка 841.1002323;196.42
Картер 202.1721014-50;45419.38
Картер 202-1721015-50;46109.9
Картер масляный 842.1009010-21;58111.04
Картер масляный 8423.1009010-11;51111.9
Картер масляный 8462.1009010;64173.22
Картер маховика 8421.1002310-51;140816.06
Картер маховика 8423.1002310-41;141703
Картер сцепления 8531.1601015-10;37705.32
Картер сцепления 8531.1601015-20;37705.32
Каталог двигателя;549
Клапан 236-1011363-Б2;1826.34
Клапан 240Б-1011363-А;1503.04
Клапан 240Н-1011268-Б;2708.4
Клапан 840.1011054;12384.22
Клапан перепускной 240Н-1011092;1876.36
Клапан редукционный 236-1011048-Б;1446.92
Клапан редукционный 240Н-1011048;2025.2
Кляммер 8423.1104825;65.88
Кляммер 8481.1303409;700.28
Кожух вентилятора 8423.1309010-10;3864.96
Коллектор 841.1008025;6540.42
Коллектор 841.1008026;6123.18
Коллектор 841.1008029;9361.06
Коллектор 841.1008030;9702.66
Коллектор 8423.1008025;5319.2
Коллектор 8423.1008026;5836.48
Коллектор 8423.1008029;7679.9
Коллектор 8423.1008030;7106.5
Коллектор 8482.1115014-12;11976.74
Коллектор левый 842.1115014-10;24471.98
Коллектор левый 8423.1115014-10;19753.02
Коллектор левый 8482.1115014-01;19753.02
Коллектор правый 842.1115012-10;19506.579999999998
Колпак 840.1012078-10;4333.44
Кольцо 840.1003466;1595.76
Кольцо 201.1701406;1163.8799999999999
Кольцо 201.1721334;124.44
Кольцо 201.1721390;690.52
Кольцо 201.1721413;170.79999999999998
Кольцо 202.1721157-40;9363.5
Кольцо 202-1721182-50;758.84
Кольцо 238-1701122;1184.62
Кольцо 238М-1701207-41;7989.78
Кольцо 238М-1721252;786.9
Кольцо 238М-1721382-011;556.3199999999999
Кольцо 8486.1605041;5249.66
Кольцо запорное 840.1303272;17.08
Кольцо зубчатое 202.1708230-40;2701.08
Кольцо стопорное 240-1029320-Б;123.22
Коробка 841.1303178-11;19872.579999999998
Коробка передач 2381.1700004-06;410138.38
Коробка передач 2381.1700004-07;416891.08
Коробка передач 2381.1700004-36;420710.89999999997
Коробка передач 2381.1700004-45;402240.1
Коромысло 840-1007110-02;8471.68
Коромысло 840-1007140-02;9544.06
Корпус 841.1012020;8452.16
Корпус 841.1318075-10;4648.2
Корпус 842.1013622;21859.96
Корпус в сборе 841.1318088;24151.12
Корпус охладителя 852.1170210;41205.5
Корпус подшипника 840.1029170;3132.96
Корпус подшипника 842.1029175-20;7315.12
Корпус подшипника 8481.1029734;4895.86
Корпус привода 240-1029172;1312.72
Корпус привода 240-1029329;1559.1599999999999
Корпус радиатора 842.1013620;25851.8
Корпус радиатора 8424.1013620;25851.8
Корпус сапуна 8423.1014182;2574.2
Корпус фильтра 840.1117020;9420.84
Корпус фильтра 840.1117022-01;6734.4
Корпус фильтра 841.1012015 *;16820.14
Корпус фильтра 8481.1012015-02;21247.52
Корпус фильтра 8481.1012020;17571.66
Корпус фильтра 8481.1117020-20;13222.36
Корпус фильтра 8481.1117022;11359.42
Корпус-кронштейн 841.1318090;22685.899999999998
Кронштейн 841.1001017-01;12967.38
Кронштейн 842.1022815;87.84
Кронштейн 8423.1108039;1337.12
Кронштейн 8423.1309064;596.58
Кронштейн 8423.1309066;596.58
Кронштейн 8423.1309072;725.9
Кронштейн 8423.3701774-01;2407.06
Кронштейн 8431.1115182;2918.24
Кронштейн 8437.3701774;9960.08
Кронштейн 8481.1001030-01;4890.98
Кронштейн 8481.1001034-01;4751.9
Кронштейн 8481.1108111;596.58
Кронштейн 8481.1303408;799.1
Кронштейн 8481.8111770-10;2203.32
Кронштейн 8486.1170326-10;16610.3
Кронштейн 8486.1212050-10;5182.5599999999995
Кронштейн 8486.3701774-11;4912.94
Кронштейн 852.1001017;12988.119999999999
Кронштейн фильтра 841.1117152;851.56
Крышка 841.1002260-02;28328.399999999998
Крышка 841.1002264;23807.079999999998
Крышка 842.1013708-02;6180.5199999999995
Крышка 8423.1170270-20;9151.22
Крышка 8424.1013694;4668.94
Крышка 8486.1605055;16401.68
Крышка блока 850.1002264-10;28612.66
Крышка головки 840.1003264;1598.2
Крышка головки 8463.1003264;2732.7999999999997
Крышка головки 849.1003264-01;2443.66
